id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
342,SINISTRA,Ophiuchi,Nu Ophiuchi,cache,4.7081414242,-0.1705820806,88048,163917,6698,yes,–0.19,3.332,K0 IIIa CN –1,[[Ophiuchus]] ,,,2.7,123,3.04,0.02,21.64,12.95 ± 0.41,14,2.1,4928,,,,,,,,,,≥21.9,,,,,,,,,,,,,,,,≥24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,SIRIUS,Canis Majoris,Alpha Canis Majoris,cache,1.767794352,-0.2917512594,32349,48915,2491,yes,1.42 (A),−1.47 (A),A1V (A),[[Canis Major]],,,4.33,25.4,2.02,0.5,379.21,−7.6,1.711,,9940,,,,,,,,,0.026,,,,,0.0084 ± 3%,,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,SIRRAH,Andromedae,Alpha Andromedae,cache,0.0365979982,0.5077238183,677,358,15,yes,,10.8,G5,[[Andromeda (constellation),,,,,,,33.6,,,,,,,2.22,B8IVpMnHg,[[Andromeda (constellation),,,,,,,,,,,,,,4.21,A3V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,SITULA,Aquarii,Kappa Aquarii,cache,5.9243296498,-0.0737934608,111710,214376,,yes, ,5.03,K2 III,[[Aquarius (constellation),,,2.5,60, ,0.14,15.25,+7.31 ± 0.16,13,3.8,4581, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,SKAT,Aquarii,Delta Aquarii,cache,5.9980430497,-0.2761254042,113136,216627,8709,yes, ,3.252,A3 V,[[Aquarius (constellation),,,3.66,26,2,–0.15,20.44,18,2.4,81,9000, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,SPEEDY MIC,Microscopii,BO Microscopii,cache,5.4443369678,-0.6386973759,102626,197890,,yes,5.92,9.39,K3Ve,[[Microscopium]] ,,,,,0.82 ± 0.08,−1.49,19.16,-10.3,1.06 ± 0.04,135,,Flare star ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,SPICA,Virginis,Alpha Virginis,cache,3.5133171901,-0.1948018168,65474,116658,,yes,−3.55 (−3.5/−1.5),1.04,B1 III-IV/B2 V,[[Virgo (constellation),,,3.7 ± 0.1,12100,10.25 ± 0.68,,12.44,1,7.40 ± 0.57,199 ± 5,22400,[[Beta Cephei variable,,,,,,,,1500,,,,,3.64 ± 0.28,,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,STEROPE I,Tauri,21 Tauri,cache,,,17579,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,STEROPE II,Tauri,22 Tauri,cache,0.9857037839,0.4285607497,17588,23432,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,SUALOCIN,Delphini,Alpha Delphini,cache,5.4089416673,0.2777181965,101958,196867,7906,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,SUBRA,Leonis,Omicron Leonis,cache,2.5357474187,0.1726533026,47508,83808,,yes,,3.53,F9III/A5mV,[[Leo (constellation),135,41.4±0.1,,39.4±2.4/15.4±1.0 ,2.12/1.87 ± 0.01,,24.12,,5.9±0.5/2.2±0.3,,"6,000±200/7,600±400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,SULAFAT,Lyrae,Gamma Lyrae,cache,4.9695794198,0.5705403769,93194,176437,7926,yes, ,3.261,B9 III,[[Lyra]],,,3.5, , ,0.11,5.26,–21.1,15,71–72,10080, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,SYRMA,Virginis,Iota Virginis,cache,3.7350700491,-0.1047294514,69701,124850,,yes,2.44,4.07,,[[Virgo (constellation),69.8 ± 1.3,21.4 ± 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,TABIT,Orionis,Pi3 Orionis,cache,1.2646663694,0.1214971606,22449,30652,,yes,3.65,3.16,F6 V,[[Orion (constellation),,,4.4,2.822 ± 0.030,1.236,0.02,123.94,24.1,1.323 ± 0.004,17,"6,516 ± 19",''Suspected'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,TALITHA AUSTRALIS,Ursae Majoris,Kappa Ursae Majoris,cache,2.3720135451,0.8230366202,44471,77327,3594,yes,,3.6,,[[Ursa Major]],358 ± 20,109 ± 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,TALITHA BOREALIS,Ursae Majoris,Iota Ursae Majoris,cache,2.3527368199,0.8384880448,44127,68255,3569,yes, ,3.14,A7 IV,[[Ursa Major]],,, , , , ,68.92,9, ,154, ,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,TANG,Serpentis,Eta Serpentis,cache,4.805371437,-0.0505940727,89962,168723,,yes,1.87,3.26,K0 III-IV,[[Serpens]],,,3.21,19 ± 1,2,–0.42,53.93,8.4,5.897 ± 0.028,2.6,4890, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,TANIA AUSTRALIS,Ursae Majoris,Mu Ursae Majoris,cache,2.715422811,0.7243033008,50801,89758,4069,yes, ,3.06,M0 IIIab,[[Ursa Major]],,,1,977, ,0,14.16,–21.30 ± 1.66,75,7.5,3899, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,TANIA BOREALIS,Ursae Majoris,Lambda Ursae Majoris,cache,2.6925909134,0.7489968047,50372,89021,4033,yes, ,3.45,A2 IV,[[Ursa Major]],,,3.9,37,2.4,0.2,23.72,18.1,2.3,50,9280, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,TARAZED,Aquilae,Gamma Aquilae,cache,5.1760342628,0.1852363546,97278,186791,7525,yes,–3.38{{+-,2.712,K3 II,[[Aquila (constellation),,,1.63,2538,5.66 ± 0.66,–0.29,8.26,-2.79,95,8,4210, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,TAYGETA,Tauri,19 Tauri,cache,0.9826567299,0.4270335866,17531,23338,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,TEEGARDEN'S STAR,,J025300.5+165258,not found,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,TEGMEN,Cancri,Zeta Cancri,cache,2.14767855,0.3080118279,40167,68257,,yes,,+5.58/+5.99/+6.12,"""wikitable""",[[Cancer (constellation),83.4 ± 2.9,25.6 ± 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,TEJAT POSTERIOR,Geminorum,Mu Geminorum,cache,1.6709801792,0.3929361454,30343,44478,,yes, ,2.857,M3 III,[[Gemini (constellation),,,1.5,2799,2.1, ,14.08,+54.38 ± 0.24, ,8.4,3773,[[Irregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,TEJAT PRIOR,Geminorum,Eta Geminorum,cache,1.6357121757,0.3928177641,29655,42995,,yes,-2.0 to -1.2 / 3.6,3.15 to 3.9 / 8.8,,[[Gemini (constellation),350&plusmn;70,110&plusmn;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,TERTIA STRUTHIONUM,Ceti,Tau Ceti,cache,0.4540825224,-0.2781615005,8102,10700,509,yes,5.69 ± 0.01,3.50 ± 0.01,G8.5 V,[[Cetus]],,,4.4,0.52 ± 0.03,0.783 ± 0.012,,273.96,−16.4,0.793 ± 0.004,,"5,344 ± 50",None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,THABIT,Orionis,Upsilon Orionis,cache,1.4483178465,-0.1274332761,25923,36512,,yes,-3.75,4.62,B0 V,[[Orion (constellation),1545.02,473.93,4.42,39800,20.6,,2.11,17.4,6.68,17.4,31560,Variable Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,THANIH AL ADZARI,Canis Majoris,Omicron2 Canis Majoris,cache,1.8457927388,-0.4159694223,33977,53138,,yes,–7.3,3.043,B3 Ia,[[Canis Major]],,,2.05,220000,21.4 ± 2.2, ,1.18,48.4,65,58,15500,[[Alpha Cygni variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,THEEMIM,Eridani,Upsilon2 Eridani,cache,1.2023164883,-0.5334134844,21393,29291,1464,yes,0.91 ± 0.07,3.817,G8IIIa,[[Eridanus (constellation),,,2.43 ± 0.09,,1.38 ± 0.19,0.24,15.62,−4.0 ± 0.9,11.4 ± 0.6,,4522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,THUBAN,Draconis,Alpha Draconis,cache,3.6843427671,1.123570551,68756,123299,5291,yes,-1.2,3.6452,A0III ,[[Draco (constellation),,,,300,3.85,,10.76,-13,6.75,,,None ,,,"""wikitable"" cellpadding=""2"" style=""margin: 1em auto 1em auto;""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,TIEN KWAN,Tauri,Zeta Tauri,cache,1.4732531779,0.369007007,26451,37202,,yes, ,3.01,B2 IIIpe,[[Taurus (constellation),,, ,4169,11.2,,7.33,20,5.5,125,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,TORCULARIS SEPTENTRIONALIS,Piscium,Omicron Piscium,cache,0.4598651691,0.1598333744,8198,10761,510,yes,,4.26,,[[Pisces (constellation),142,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,TRAPEZIUM,Orionis,Theta1 Orionis,cache,,,,37022,,yes,,4,?,,1.6 [[light-year,490 [[parsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,TUREIS,Puppis,Rho Puppis,cache,2.1273126535,-0.4241904835,39757,67523,3185,yes,,2.78,F2mF5IIp,[[Puppis]],,,3.7,22,1.85,0.35,51.33,46.1,3.41,15,6920,[[Delta Scuti variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,TYCHO'S STAR,1572,SN 1572,cache,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,TYL,Draconis,Epsilon Draconis,cache,5.1843807044,1.2264067419,97433,188119,,yes,0.71,3.9974,G8III ,[[Draco (constellation),,,,~60,2.7,,22.04,3.1,10,1.2,5068, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,UKDAH,Hydrae,Tau Hydrae,cache,2.4833780872,0.0483262277,46509,81997,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,UNUKALHAI,Serpentis,Alpha Serpentis,cache,4.1201459915,0.1121483772,77070,140573,,yes,+0.88 ± 0.03,2.623,K2 III,[[Serpens]],,,2.5,70, ,0.03,44.1,2.63,12,4.3,4498, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,URODELUS,Ursae Minoris,Epsilon Ursae Minoris,cache,4.3893648969,1.431819637,82080,153751,,yes,,4.21,,[[Ursa Minor]],347 ± 25,106 ± 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,USHAKARON,Tauri,Xi Tauri,cache,0.9039496528,0.1698690176,16083,21364,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,VAN BIESBROECK'S STAR,Aquilae,V1298 Aquilae,cache,5.0481917829,0.0898951224,94761,,,yes,18.7,9.13,M8V,[[Aquila (constellation),18.72,5.74, , ,0.075 ±.05,,164.3, ,~0.102, ,~2600,UV,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,VAN MAANEN'S STAR,35,Gliese 35,not found,,,3829,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,VEGA,Lyrae,Alpha Lyrae,cache,4.873565508,0.6769030681,91262,172167,7001,yes,0.58,0.03,A0V,[[Lyra]],,,4.1 & 0.1,40.12 ± 0.45,2.135 ± 0.074,−0.5,130.23,−13.9 ± 0.9,2.362 × 2.818,236.2 ± 3.7,"9,602 ± 180",Suspected [[Delta Scuti variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,VINDIEMATRIX,Virginis,Epsilon Virginis,cache,3.412889385,0.191273258,63608,113226,,yes,0.37 ± 0.06,2.826,G8 III,[[Virgo (constellation),,,2.71 ± 0.04,77,2.64 ± 0.11,0.09,29.76,-14.6,10.6 ± 0.3,2.3,5086, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,WASAT,Geminorum,Delta Geminorum,cache,1.9203988499,0.3836637919,35550,56986,,yes, ,3.53,F0 IV,[[Gemini (constellation),,, ,,1.57,–0.26,53.94,4.1, ,129.7,6900, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,WAZN,Columbae,Beta Columbae,cache,1.5313513694,-0.6242747735,27628,39425,2040,yes, ,3.105,K1 IIICN+1,[[Columba (constellation),,,2.62,,1.10 ± 0.20,0.11,37.41,88.9,11.5,,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,WEZEN,Canis Majoris,Delta Canis Majoris,cache,1.8692102556,-0.460648373,34444,63032,,yes,–6.86,1.83,F8 Ia,[[Canis Major]],,,1.00 ± 0.14,82000,16.9 ± 1.6,,2.03,34,237,~28,6390 ± 150,Alpha Cygni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,XESTUS,Velorum,Omicron Velorum,cache,2.2702068834,-0.9236612085,42536,74195,,yes, ,3.6,B3 IV,[[Vela (constellation),,,3.91 ± 0.20,1000,5.5 ± 0.4, ,6.61, ,4.3 ± 0.7,9 ± 5,"16,200 ± 700", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,YED POSTERIOR,Ophiuchi,Epsilon Ophiuchi,cache,4.2687328106,-0.0818997424,79882,146791,,yes,0.55,3.22,G9.5 IIIb,[[Ophiuchus]],,,2.59 ± 0.08,54,1.85 ± 0.05,–0.13 ± 0.06,30.64,–10.3,10.39 ± 0.07,5.7,"4,918 ± 28", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
