id,name,designation,greek,constellation,search,wikistatus,ra,dec,appmag_v,class,mass,radius
98,BEEMIM,,,Eridani,"Upsilon2 Eridani",cache,1.2023164882666,-0.533413484354648,3.817,G8IIIa,"1.38 ± 0.19",
99,BEID,,,Eridani,"Omicron1 Eridani",cache,,,,,,
100,BELLATRIX,,,Orionis,"Gamma Orionis",cache,1.41865184892209,0.110823228721898,1.64,"B2 III",8.4{{+-,
101,BENETNASCH,,,"Ursae Majoris","Eta Ursae Majoris",cache,3.61082716897316,0.86067886921693,+1.84,"B3 V","6.1 ± 0.1",
102,BETELGEUSE,,,Orionis,"Alpha Orionis",cache,1.54972913370916,0.129277633374139,,M2Iab,"7.7–20",
103,BETRIA,,,"Trianguli Australis","Beta Trianguli Australis",cache,4.16759623971043,-1.10707502484183,2.85,"F1 V",,
104,BIRDUN,,,Centauri,"Epsilon Centauri",cache,3.57743465560494,-0.933164564532732,+2.34,"B1 III","11.60 ± 1.06",
105,"BIRHAN ISAT",,,Tauri,"5 Tauri",cache,0.920106311168979,0.225787912380014,+4.14,K0II-III,4.0{{+-,
106,"THE BLAZE STAR",,,"Coronae Borealis","T Coronae Borealis",cache,4.18662017874974,0.452392250999017,"2.0–10.8",M3III,,
107,BOGARDUS,,,Aurigae,"Theta Aurigae",cache,1.5695796955888,0.649482125125676,2.62,"A0pSi + F2-5V","3.38 ± 0.08",
108,BOTEJN,,,Arietis,"Delta Arietis",cache,0.836141040674639,0.344295476247779,4.349,"K2 III",1.91,
109,BRACHIUM,,,Librae,"Sigma Librae",cache,3.94475071149688,-0.441253465658935,+3.29,"M3/M4 III",2.1,
110,BUNDA,,,Aquarii,"Xi Aquarii",cache,5.66251054118663,-0.137081698106693,4.682,"A7 V",1.9,
111,CALVERA,,,J141256,"1RXS J141256.0+792204",cache,3.72162374166924,1.38522904221341,?,,,
112,CANOPUS,,,Carinae,"Alpha Carinae",cache,1.67530590791159,-0.919712778207749,&minus;0.72,"F0 II or F0 Ib","9.0–10.6",
113,CAPELLA,,,Aurigae,"Alpha Aurigae",cache,1.38181782770328,0.802816394191974,17.1,,,
114,CAPH,,,Cassiopeiae,"Beta Cassiopeiae",cache,0.0400469563872401,1.03235843222284,"+2.28 (2.25&ndash;2.31)","F2 III-IV","1.91 ± 0.02",
115,CASTOR,,,Geminorum,"Alpha Geminorum",cache,1.98355747300812,0.556555517582952,"1.93 / 2.97","A1 V + A2 Vm",2.76,
116,CASTRA,,,Capricorni,"Epsilon Capricorni",cache,5.65957916544201,0.339747731447941,+4.51/+9.5,,,
117,CASTULA,,,Cephei,"Nu Cephei",cache,5.69609508949634,1.06675929841569,4.312,A2Iab,"15  ",
118,"CAYREL'S STAR",,,CS31082,"BPS CS31082-0001","not found",,,,,,
119,CELAENO,,,Tauri,"16 Tauri",cache,0.98089070395085,0.423931229912524,+5.448,B7IV,"~9 - 10",
120,CELBALRAI,,,Ophiuchi,"Beta Ophiuchi",cache,4.64027435006729,0.0797144980724576,2.749,"K2 III",1.13,
121,CHARA,,,"Canum Venaticorum","Beta Canum Venaticorum",cache,3.28882170760311,0.721824180813667,4.26,"G0 V","1.025 ± 0.050",
122,CHOO,,,Arae,"Alpha Arae",cache,4.58952445729372,-0.870502948452107,2.93,"B2 Vne",9.6,
123,CHORT,,,Leonis,"Theta Leonis",cache,2.94192731150199,0.269296808848029,+3.324,"A2 V",2.5,
124,CHOW,,,Serpentis,"Beta Serpentis",cache,4.12852544015607,0.269163707615203,"+3.65 ",,,
125,"COR CAROLI",,,"Canum Venaticorum","Alpha Canum Venaticorum",cache,3.38606000561878,0.668781890182208,"2.84 to 2.98",A0pSiEuHg,,
126,CURSA,,,Eridani,"Beta Eridani",cache,1.34324797036916,-0.0887752294400818,2.796,"A3 III var",2.0,
127,"DABIH MAJOR",,,Capricorni,"Beta1 Capricorni","not found",,,,,,
