140  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 116842
140  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 5054
140  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 65378
142  DEBUG stellarum.wiki_stars 89 : Star ALCYONE Eta Tauri
144  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
144  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
144  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
145  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
145  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 23630
146  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 17702
147  DEBUG stellarum.wiki_stars 89 : Star ALDAFAR Eta Lyrae
147  DEBUG stellarum.wikipedia 212 : Missing field absmag_v
148  DEBUG stellarum.wikipedia 212 : Missing field appmag_v
148  DEBUG stellarum.wikipedia 212 : Missing field class
148  DEBUG stellarum.wikipedia 212 : Missing field constell
148  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
148  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
149  DEBUG stellarum.wikipedia 212 : Missing field gravity
150  DEBUG stellarum.wikipedia 212 : Missing field luminosity
150  DEBUG stellarum.wikipedia 212 : Missing field mass
151  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
152  DEBUG stellarum.wikipedia 212 : Missing field parallax
152  DEBUG stellarum.wikipedia 212 : Missing field radial_v
153  DEBUG stellarum.wikipedia 212 : Missing field radius
154  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
154  DEBUG stellarum.wikipedia 212 : Missing field temperature
155  DEBUG stellarum.wikipedia 212 : Missing field variable
155  DEBUG stellarum.wiki_stars 89 : Star ALDEBARAN Alpha Tauri
159  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
159  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
159  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
159  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 21421
160  DEBUG stellarum.wiki_stars 89 : Star ALDERAMIN Alpha Cephei
161  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
161  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
162  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
162  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:(HD)\s*(\d+)) - 194298
162  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:(HR)\s*(\d+)) - 1
162  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 105199
163  DEBUG stellarum.wiki_stars 89 : Star ALDHAFERA Zeta Leonis
164  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
164  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
164  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 89025
164  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 50335
165  DEBUG stellarum.wiki_stars 89 : Star ALDHANAB Gamma Gruis
